,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,tevaitoa,-16.7833,-151.5,301.06,74,16,4.06,PF,1618733634
311,sorland,67.667,12.6934,278.19,71,17,3.83,NO,1618733636
312,kruisfontein,-34.0033,24.7314,300.93,30,2,0.89,ZA,1618733636
313,beringovskiy,63.05,179.3167,273.02,98,100,3.89,RU,1618733637
314,ewa beach,21.3156,-158.0072,296.15,73,1,2.57,US,1618733637
315,cabedelo,-6.9811,-34.8339,296.15,100,75,2.06,BR,1618733637
316,macia,-25.0269,33.0989,297.62,42,0,0.85,MZ,1618733638
317,port lincoln,-34.7333,135.8667,291.02,55,83,4.19,AU,1618733638
318,ziyang,29.2497,117.8547,293.03,59,100,0.87,CN,1618733639
319,ulundi,-28.3352,31.4162,296.2,37,1,1.7,ZA,1618733639
320,leiyang,26.4024,112.8591,288.53,93,100,2.45,CN,1618733406
321,broken hill,-31.95,141.4333,292.15,34,2,3.09,AU,1618733640
322,rawson,-43.3002,-65.1023,288.21,90,53,7.56,AR,1618733641
323,namibe,-15.1961,12.1522,302.94,56,7,2.04,AO,1618733641
324,kobelyaky,49.1489,34.1965,282.9,61,100,2.69,UA,1618733642
325,north bend,43.4065,-124.2243,281.48,100,90,0.99,US,1618733642
326,luderitz,-26.6481,15.1594,303.08,31,0,3.78,NA,1618733643
327,avera,33.194,-82.5271,288.15,94,1,2.57,US,1618733643
328,tiksi,71.6872,128.8694,259.37,88,100,4.07,RU,1618733644
329,marawi,7.9986,124.2928,302.04,68,100,5.81,PH,1618733644
330,talcahuano,-36.7167,-73.1167,286.15,100,90,2.06,CL,1618733415
331,votkinsk,57.0486,53.9872,278.93,57,97,6.46,RU,1618733645
332,yar-sale,66.8333,70.8333,261.64,88,100,7.35,RU,1618733645
333,shar,49.5886,81.0453,289.74,30,16,3.32,KZ,1618733645
334,dharchula,29.85,80.5333,299.06,20,26,3.88,IN,1618733646
335,hokitika,-42.7167,170.9667,285.83,83,93,0.74,NZ,1618733646
336,san jose,37.3394,-121.895,285.37,82,1,2.06,US,1618733656
337,bagdarin,54.4333,113.6,271.86,31,57,7.02,RU,1618733648
338,port-gentil,-0.7193,8.7815,300.15,83,20,2.06,GA,1618733648
339,mysliborz,52.9238,14.8679,284.26,77,100,2.24,PL,1618733648
340,cloquet,46.7216,-92.4594,272.59,69,1,1.54,US,1618733649
341,milkovo,54.7167,158.6167,275.05,92,100,2.05,RU,1618733649
342,livingston,55.9029,-3.5226,281.15,61,0,1.03,GB,1618733650
343,bahraich,27.5833,81.6,311.64,9,0,6.7,IN,1618733650
344,kafue,-15.7691,28.1814,294.18,53,86,4.81,ZM,1618733651
345,fredericksburg,38.3032,-77.4605,280.37,93,1,1.54,US,1618733384
346,coquimbo,-29.9533,-71.3436,286.15,94,90,1.03,CL,1618733651
347,velikiy ustyug,60.7644,46.3106,277.51,39,4,4.59,RU,1618733652
348,imbituba,-28.24,-48.6703,294.15,78,75,3.09,BR,1618733652
349,santa marinella,42.0345,11.8536,284.26,42,40,1.34,IT,1618733652
350,tagusao,9.1924,117.8141,301.55,72,100,3.02,PH,1618733653
351,itoman,26.1247,127.6694,294.15,52,75,10.29,JP,1618733653
352,tura,25.5198,90.2201,307.22,28,2,3.31,IN,1618733653
353,laguna,38.421,-121.4238,289.82,36,1,2.57,US,1618733654
354,suntar,62.1444,117.6319,266.97,68,100,4.82,RU,1618733654
355,renukut,24.2,83.0333,311.18,12,23,6.28,IN,1618733655
356,aldan,58.6031,125.3894,266.25,92,100,4.03,RU,1618733532
357,ostersund,63.1792,14.6357,279.15,52,4,3.6,SE,1618733655
358,madang,-5.2246,145.7966,297.44,90,100,3.89,PG,1618733655
359,manoel urbano,-8.8389,-69.2597,294.0,95,92,0.68,BR,1618733656
360,bell ville,-32.6259,-62.6887,288.71,95,0,0.89,AR,1618733656
361,waddan,29.1614,16.139,298.82,32,100,1.23,LY,1618733657
362,faya,18.3851,42.4509,296.15,20,0,4.12,SA,1618733657
363,cuyo,10.8525,121.0086,301.21,75,100,5.09,PH,1618733658
364,vanimo,-2.6741,141.3028,300.12,81,77,1.23,PG,1618733658
365,gushikawa,26.3544,127.8686,294.15,49,1,6.69,JP,1618733658
366,dalvik,65.9702,-18.5286,277.15,41,20,7.2,IS,1618733659
367,mbini,1.574,9.6134,298.21,89,100,0.85,GQ,1618733659
368,hjallerup,57.1647,10.1457,284.26,46,89,4.63,DK,1618733587
